X,Y,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL
2506125.446,2415973.811,27,T20150013846,ABS to receive accident,Finished,1/07/2015 0:00,12:45:00,No,Struck Pedestrian,Wednesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,129213,145.069526,-37.757163,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2506125.446,2415973.811,2,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BANYULE
2515098.884,2379460.948,10,T20150013842,ABS to receive accident,Finished,1/07/2015 0:00,13:00:00,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,291285,145.1721196,-38.08605688,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2515098.884,2379460.948,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,FRANKSTON
2514829.209,2393066.781,47,T20150013855,ABS to receive accident,Finished,1/07/2015 0:00,13:25:00,No,Collision with vehicle,Wednesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,291601,145.1689337,-37.96348274,Non-Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,2514829.209,2393066.781,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,DANDENONG
2490706.473,2409439.682,33,T20150013854,ABS to receive accident,Finished,1/07/2015 0:00,13:40:00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,38756,144.8944421,-37.81600659,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2490706.473,2409439.682,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG
2203824.392,2341519.616,11,T20150013847,ABS to receive accident,Finished,1/07/2015 0:00,13:45:00,No,Collision with a fixed object,Wednesday,OFF END OF ROAD/T-INTERSECTION.,No,Day,Yes,T intersection,Serious injury accident,80 km/hr,No,282197,141.610066,-38.38048573,Intersection,GLENELG,SOUTH WESTERN REGION,2203824.392,2341519.616,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,TOWNS,TOWNS,GLENELG
2611072.62,2435854.879,121,T20150014071,ABS to receive accident,Finished,1/07/2015 0:00,14:20:00,No,Collision with a fixed object,Wednesday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,Not known,Yes,291355,146.2578059,-37.57108126,Non-Intersection,MANSFIELD,NORTH EASTERN REGION,2611072.62,2435854.879,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MANSFIELD
2503164.215,2362414.8,39,T20150013849,ABS to receive accident,Finished,1/07/2015 0:00,14:30:00,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,No,T intersection,Other injury accident,70 km/hr,No,291207,145.0361146,-38.23969675,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2503164.215,2362414.8,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA
2285424.74,2361073.197,41,T20150013860,Non ABS accident,Private Property,1/07/2015 0:00,14:45:00,No,Vehicle overturned (no collision),Wednesday,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,No,Day,Yes,Unknown,Serious injury accident,Camping grounds or off road,No,291281,142.5493413,-38.22692253,Off Road,MOYNE,SOUTH WESTERN REGION,2285424.74,2361073.197,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOYNE
2483217.481,2409044.835,16,T20150013868,ABS to receive accident,Finished,1/07/2015 0:00,16:09:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,100 km/hr,No,291436,144.8094163,-37.81946515,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2483217.481,2409044.835,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WYNDHAM
2431225.822,2520109.433,57,T20150013870,ABS to receive accident,Finished,1/07/2015 0:00,16:10:00,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,293457,144.2289888,-36.8161748,Non-Intersection,BENDIGO,NORTHERN REGION,2431225.822,2520109.433,3,3,0,1,2,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO
